,Incidența  înregistrată la 14 zile
0,Incidența  înregistrată la 14 zile
1,"5,86"
2,"5,79"
3,"3,88"
4,"5,82"
5,"9,12"
6,"7,31"
7,"5,65"
8,"9,24"
9,"1,90"
10,"3,20"
11,"3,43"
12,"2,13"
13,"14,19"
14,"7,60"
15,"2,52"
16,"3,27"
17,"3,01"
18,"3,66"
19,"2,54"
20,"1,77"
21,"5,38"
22,"6,02"
23,"2,50"
24,"4,76"
25,"10,40"
26,"8,53"
27,"1,28"
28,"4,14"
29,"5,71"
30,"1,65"
31,"3,64"
32,"7,51"
33,"6,43"
34,"7,33"
35,"8,84"
36,"1,97"
37,"12,31"
38,"4,74"
39,"2,31"
40,"3,43"
41,"2,97"
42,"9,50"
43,
44,
45, Nr. Crt.
46,8
47,ARGEŞ
48,5
49,5
50,BRĂILA
51,10
52,5
53,CLUJ
54,15
55,6
56,GALAŢI
57,20
58,6
59,IALOMIŢA
60,25
61,8
62,MUNICIPIUL BUCUREŞTI
63,30
64,8
65,SĂLAJ
66,35
67,21
68,TIMIŞ
69,40
70,4
71,Total
72,Regatul Unit
73, 127.638  (+1333)
74, 9.018.425  (+1.047.357)
75,"SITUAȚIE GLOBALĂ LA 20 IANUARIE 2022
 "
