,Incidența  înregistrată la 14 zile
0,Incidența  înregistrată la 14 zile
1,"1,48"
2,"1,16"
3,"0,78"
4,"1,24"
5,"1,51"
6,"1,00"
7,"1,53"
8,"2,15"
9,"1,00"
10,"0,48"
11,"1,51"
12,"0,87"
13,"2,71"
14,"1,74"
15,"0,71"
16,"1,08"
17,"1,15"
18,"1,49"
19,"1,12"
20,"0,77"
21,"0,63"
22,"1,29"
23,"0,95"
24,"0,63"
25,"2,7"
26,"2,57"
27,"0,81"
28,"1,02"
29,"1,23"
30,"0,52"
31,"0,91"
32,"1,69"
33,"1,9"
34,"1,13"
35,"1,84"
36,"1,23"
37,"3,36"
38,"0,85"
39,"1,13"
40,"1,2"
41,"0,53"
42,"2,07"
43, 
44, Nr. Crt.
45,21
46,ARGEŞ
47,5
48,12
49,BRĂILA
50,10
51,2
52,CLUJ
53,15
54,12
55,GALAŢI
56,20
57,3
58,IALOMIŢA
59,25
60,20
61,MUNICIPIUL BUCUREŞTI
62,30
63,13
64,SĂLAJ
65,35
66,63
67,TIMIŞ
68,40
69,24
70,Total
71,"VINDECAŢI*
 "
72,Franţa
73,2.381.277  (+104.786)
74, 53.769   (+1.494)
75, 1.881.933   (+21.997)
76,"VINDECAȚI*
 "
